time,x,y,z,theta,psi,left,right
25.2,39.6447970085232,24.1039352909466,-59.5600935442073,0.22548892689544,0.8391436941512,0,0
25.3,39.7750955798336,24.2486093346136,-59.6053198062189,0.22966907646829,0.846504725147268,0,0
25.4,39.9036137304618,24.3932268127714,-59.6510000106057,0.235797603423799,0.853808877669801,0,0
25.5,40.0301436429859,24.5376540709467,-59.6974347873033,0.243823518826415,0.862089890777122,0,0
25.6,40.1550831400953,24.6825759607251,-59.7451001757456,0.251356149818021,0.869501604183867,0,0
25.7,40.2791511229231,24.8287649832844,-59.7942842181679,0.258463004526367,0.873788266714994,0,0
25.8,40.4027038034297,24.9762113132398,-59.8450687518927,0.266049911851252,0.874359989732845,0,0
25.9,40.5258327383083,25.1240718244332,-59.8973061590892,0.272731418309841,0.874847655453981,0,0
26,40.6480446891261,25.271148744298,-59.9505749817225,0.278757598192796,0.877668281711649,0,0
26.1,40.7696250716086,25.417995642018,-60.0048764548896,0.283406985396463,0.882083851909364,0,0
26.2,40.8905191551744,25.5649841129581,-60.0600217935375,0.285715137458449,0.887182713511854,0,0
26.3,41.009738667881,25.711195391414,-60.1152774515469,0.28741854166027,0.892366872850698,0,0
26.4,41.127734700871,25.857318463484,-60.1706367097979,0.287465453592777,0.898601027469218,0,0
26.5,41.2445824433415,26.003673691093,-60.2258985933805,0.286216552668467,0.904876281500968,0,0
26.6,41.3601922575126,26.1502621720594,-60.2808048200137,0.284844573319058,0.910992727570561,0,0
26.7,41.4738357217705,26.2961178069589,-60.3349178202167,0.283125174220716,0.915206562747179,0,0
26.8,41.5855594767407,26.4410008181206,-60.3881528641398,0.282146759689823,0.919524169592987,0,0
26.9,41.6954988000412,26.5848922740565,-60.4406533655335,0.282559414786843,0.920612227943538,0,0
27,41.8048179532254,26.728794743564,-60.4930319369736,0.283449405530676,0.919262836992126,0,0
27.1,41.9139007369889,26.8723928869913,-60.5454423179739,0.285643798449101,0.917672494001985,0,0
27.2,42.0242469470116,27.0171482677779,-60.5987207922983,0.291025428281436,0.924933237349946,0,6
27.3,42.124065800566,27.1476858967084,-60.6477056937293,0.304052226665382,0.974902236534986,0,10
27.4,42.202706393033,27.2552473854237,-60.6887172603813,0.317785538913383,1.05006850257372,0,9
